"cohort","id","trueHRD","CNA","ASCN","SNV","SNV+CNA","SNV+ASCN"
"TCGA","TCGA-A8-A08T-01",NA,0.004,0.002,0.008,0.002,0.002
"TCGA","TCGA-A8-A08X-01",NA,0.086,0.016,0,0.006,0.002
"TCGA","TCGA-A8-A08Z-01","0",0,0,0,0,0.002
"TCGA","TCGA-A8-A090-01",NA,0.022,0.006,0.002,0,0
"TCGA","TCGA-A8-A091-01","0",0.016,0.016,0,0,0
"TCGA","TCGA-A8-A092-01","0",0,0,0.018,0.006,0.002
"TCGA","TCGA-A8-A093-01","0",0.006,0,0.014,0.018,0.008
"TCGA","TCGA-A8-A094-01",NA,0.286,0.574,0.548,0.474,0.5
"TCGA","TCGA-A8-A095-01",NA,0.21,0.016,0.042,0.02,0.014
"TCGA","TCGA-A8-A096-01","0",0.024,0.04,0,0.004,0.008
"TCGA","TCGA-A8-A097-01","1",0.64,0.652,0.742,0.636,0.608
"TCGA","TCGA-A8-A099-01",NA,0,0.002,0.034,0.016,0.018
"TCGA","TCGA-A8-A09A-01",NA,0.302,0.458,0.448,0.428,0.456
"TCGA","TCGA-A8-A09B-01","0",0.01,0.004,0.024,0.004,0.002
"TCGA","TCGA-A8-A09C-01",NA,0,0.002,0,0.004,0.004
"TCGA","TCGA-A8-A09D-01",NA,0.026,0.194,0.038,0.146,0.134
"TCGA","TCGA-A8-A09E-01","0",0.012,0,0.024,0.02,0.006
"TCGA","TCGA-A8-A09G-01",NA,0,0,0.014,0.022,0.016
"TCGA","TCGA-A8-A09I-01",NA,0.004,0.012,0.032,0.012,0.012
"TCGA","TCGA-A8-A09K-01",NA,0.196,0.014,0.012,0.044,0.016
"TCGA","TCGA-A8-A09M-01",NA,0.424,0.622,0.426,0.468,0.51
"TCGA","TCGA-A8-A09N-01",NA,0.3,0.22,0.01,0.04,0.02
"TCGA","TCGA-A8-A09Q-01",NA,0.014,0.12,0.39,0.136,0.19
"TCGA","TCGA-A8-A09R-01","0",0.01,0.004,0.03,0.014,0
"TCGA","TCGA-A8-A09T-01","0",0.022,0.006,0,0,0
"TCGA","TCGA-A8-A09V-01",NA,0.004,0.002,0.006,0,0
"TCGA","TCGA-A8-A09W-01","1",0.86,0.886,0.866,0.888,0.918
"TCGA","TCGA-A8-A09X-01",NA,0.008,0,0.01,0,0.002
"TCGA","TCGA-A8-A09Z-01","0",0.002,0.004,0.156,0.07,0.068
"TCGA","TCGA-A8-A0A1-01","0",0,0.01,0.02,0.078,0.034
"TCGA","TCGA-A8-A0A2-01","0",0.004,0,0.014,0.03,0.016
"TCGA","TCGA-A8-A0A4-01","0",0.002,0.004,0.006,0.004,0.008
"TCGA","TCGA-A8-A0A6-01","0",0.004,0.01,0.002,0.002,0.002
"TCGA","TCGA-A8-A0A7-01",NA,0,0,0.194,0.008,0.002
"TCGA","TCGA-A8-A0A9-01","0",0.006,0.008,0.024,0.004,0.004
"TCGA","TCGA-A8-A0AB-01",NA,0.004,0,0,0,0
"TCGA","TCGA-A8-A0AD-01","0",0.014,0.006,0.004,0.006,0.006
"TCGA","TCGA-AC-A23C-01","0",0.012,0.006,0.116,0.046,0.046
"TCGA","TCGA-AC-A23E-01","0",0.002,0.002,0,0.002,0.002
"TCGA","TCGA-AC-A23H-01","1",0.626,0.656,0.78,0.716,0.688
"TCGA","TCGA-AC-A2B8-01","0",0.006,0.002,0.016,0.01,0.01
"TCGA","TCGA-AC-A2BK-01","0",0.022,0.064,0.146,0.18,0.196
"TCGA","TCGA-AC-A2BM-01","0",0.008,0.01,0.012,0.014,0.004
"TCGA","TCGA-AC-A2FB-01","0",0.016,0.036,0,0.004,0.012
"TCGA","TCGA-AC-A2FF-01","0",0.004,0.004,0.002,0,0.002
"TCGA","TCGA-AC-A2FG-01","0",0,0,0.002,0.004,0.01
"TCGA","TCGA-AC-A2FK-01","0",0.002,0,0,0,0
"TCGA","TCGA-AC-A2FO-01","0",0.014,0.002,0.004,0.012,0.012
"TCGA","TCGA-AC-A2QH-01","0",0.028,0.002,0.002,0.01,0.006
"TCGA","TCGA-AC-A3HN-01","0",0.002,0.002,0.004,0.002,0
"TCGA","TCGA-AC-A3OD-01","0",0.196,0.134,0,0.028,0.06
"TCGA","TCGA-AC-A3QP-01","0",0.002,0.008,0.002,0.002,0
"TCGA","TCGA-AC-A3QQ-01","0",0.008,0.008,0,0.002,0
"TCGA","TCGA-AC-A3W5-01","0",0.218,0.258,0.136,0.186,0.174
"TCGA","TCGA-AC-A3YI-01","0",0.006,0.01,0,0.002,0
"TCGA","TCGA-AC-A3YJ-01","0",0,0,0,0,0
"TCGA","TCGA-AC-A4ZE-01","0",0,0,0.016,0.018,0.002
"TCGA","TCGA-AC-A5EH-01","0",0.026,0.008,0.11,0.084,0.074
"TCGA","TCGA-AC-A5EI-01","0",0.002,0.028,0.038,0.032,0.036
"TCGA","TCGA-AC-A5XS-01","0",0.09,0.044,0.082,0.104,0.082
"TCGA","TCGA-AC-A5XU-01","0",0,0.012,0.02,0.012,0.004
"TCGA","TCGA-AC-A62V-01","0",0.002,0,0.136,0.06,0.028
"TCGA","TCGA-AC-A62X-01","0",0.174,0.05,0.006,0.074,0.058
"TCGA","TCGA-AC-A62Y-01","0",0.012,0.004,0.038,0.018,0.006
"TCGA","TCGA-AC-A6IV-01","0",0.008,0.004,0,0,0
"TCGA","TCGA-AC-A6IW-01","0",0.126,0.198,0.07,0.108,0.144
"TCGA","TCGA-AC-A6IX-01","0",0.006,0,0.004,0.004,0.002
"TCGA","TCGA-AC-A6IX-06","0",0.01,0.002,0.036,0.012,0.012
"TCGA","TCGA-AC-A6NO-01","0",0.002,0.006,0.006,0.004,0
"TCGA","TCGA-AC-A7VB-01","0",0.086,0.094,0,0.038,0.074
"TCGA","TCGA-AC-A7VC-01","0",0,0.002,0,0,0
"TCGA","TCGA-AC-A8OP-01","0",0.014,0.002,0.15,0.064,0.028
"TCGA","TCGA-AC-A8OQ-01","0",0.148,0.18,0.086,0.148,0.13
"TCGA","TCGA-AC-A8OR-01","0",0,0,0.018,0.02,0.012
"TCGA","TCGA-AC-A8OS-01","0",0.004,0.006,0.092,0.022,0.014
"TCGA","TCGA-AN-A03X-01",NA,0,0.002,0.402,0.166,0.052
"TCGA","TCGA-AN-A03Y-01","0",0.002,0,0,0,0
"TCGA","TCGA-AN-A041-01","0",0.02,0.004,0.004,0.002,0
"TCGA","TCGA-AN-A046-01",NA,0,0,0.224,0.034,0.018
"TCGA","TCGA-AN-A049-01",NA,0.014,0.028,0.024,0.018,0.008
"TCGA","TCGA-AN-A04A-01",NA,0.022,0.004,0.026,0.118,0.014
"TCGA","TCGA-AN-A04C-01",NA,0.004,0.002,0.02,0.016,0.008
"TCGA","TCGA-AN-A04D-01",NA,0.934,0.954,0.646,0.722,0.898
"TCGA","TCGA-AN-A0AJ-01",NA,0.004,0.006,0.142,0.028,0.012
"TCGA","TCGA-AN-A0AK-01","0",0,0,0.114,0.094,0.114
"TCGA","TCGA-AN-A0AL-01","1",0.954,0.956,0.868,0.924,0.944
"TCGA","TCGA-AN-A0AM-01",NA,0,0.044,0.192,0.24,0.164
"TCGA","TCGA-AN-A0AR-01",NA,0.94,0.668,0.436,0.476,0.602
"TCGA","TCGA-AN-A0AS-01",NA,0.006,0.006,0.002,0.004,0
"TCGA","TCGA-AN-A0AT-01",NA,0.458,0.472,0.756,0.476,0.492
"TCGA","TCGA-AN-A0FD-01",NA,0.014,0.122,0.222,0.026,0.024
"TCGA","TCGA-AN-A0FF-01","0",0,0,0,0,0
"TCGA","TCGA-AN-A0FJ-01",NA,0.028,0.146,0.358,0.248,0.238
"TCGA","TCGA-AN-A0FK-01","0",0.004,0.002,0,0.004,0
"TCGA","TCGA-AN-A0FL-01","1",0.98,0.894,0.822,0.892,0.91
"TCGA","TCGA-AN-A0FN-01","0",0.01,0,0,0.006,0.012
"TCGA","TCGA-AN-A0FS-01","0",0.002,0,0.032,0.012,0.008
"TCGA","TCGA-AN-A0FV-01",NA,0.04,0.008,0.022,0.032,0.01
"TCGA","TCGA-AN-A0FW-01",NA,0.402,0.354,0.17,0.298,0.302
"TCGA","TCGA-AN-A0FX-01","1",0.946,0.966,0.708,0.786,0.856
"TCGA","TCGA-AN-A0FY-01",NA,0.012,0,0.012,0.008,0.002
"TCGA","TCGA-AN-A0XL-01","0",0.002,0.002,0.002,0.004,0.002
"TCGA","TCGA-AN-A0XN-01","0",0.254,0.226,0.104,0.132,0.178
"TCGA","TCGA-AN-A0XO-01","0",0.038,0.006,0.02,0.014,0.014
"TCGA","TCGA-AN-A0XP-01","0",0,0,0.004,0,0
"TCGA","TCGA-AN-A0XR-01","1",0.67,0.668,0.618,0.678,0.624
"TCGA","TCGA-AN-A0XS-01","0",0,0,0,0,0
"TCGA","TCGA-AN-A0XT-01","0",0.014,0.022,0.002,0.004,0.014
"TCGA","TCGA-AN-A0XU-01","1",0.89,0.904,0.782,0.79,0.81
"TCGA","TCGA-AN-A0XV-01","0",0,0,0.008,0.004,0.002
"TCGA","TCGA-AN-A0XW-01","1",0.618,0.616,0.666,0.66,0.672
"TCGA","TCGA-AO-A03L-01","0",0.014,0.002,0.004,0.008,0.002
"TCGA","TCGA-AO-A03M-01","0",0,0.004,0.192,0.092,0.054
"TCGA","TCGA-AO-A03N-01","0",0,0,0.004,0,0
"TCGA","TCGA-AO-A03O-01",NA,0.016,0.034,0.6,0.21,0.174
"TCGA","TCGA-AO-A03P-01","0",0.008,0.008,0.01,0.012,0.012
"TCGA","TCGA-AO-A03R-01",NA,0.008,0.006,0.006,0.004,0
"TCGA","TCGA-AO-A03T-01",NA,0.114,0.296,0.27,0.226,0.23
"TCGA","TCGA-AO-A03U-01","0",0,0,0.02,0.01,0.008
"TCGA","TCGA-AO-A03V-01",NA,0.01,0.01,0.002,0.022,0.006
"TCGA","TCGA-AO-A0J2-01",NA,0.708,0.756,0.292,0.538,0.654
"TCGA","TCGA-AO-A0J3-01",NA,0.138,0.024,0.002,0.01,0.004
"TCGA","TCGA-AO-A0J4-01","1",0.8,0.8,0.652,0.71,0.746
"TCGA","TCGA-AO-A0J5-01",NA,0.006,0,0.012,0.004,0.006
"TCGA","TCGA-AO-A0J6-01",NA,0.942,0.974,0.624,0.908,0.924
"TCGA","TCGA-AO-A0J7-01","0",0,0,0,0,0
"TCGA","TCGA-AO-A0J8-01","0",0,0.002,0,0,0
"TCGA","TCGA-AO-A0J9-01","0",0.01,0.012,0.064,0.056,0.042
"TCGA","TCGA-AO-A0JA-01","0",0.006,0.008,0.002,0.002,0.012
"TCGA","TCGA-AO-A0JB-01","1",0.93,0.954,0.746,0.82,0.84
"TCGA","TCGA-AO-A0JC-01","0",0.008,0.008,0.006,0.008,0.006
"TCGA","TCGA-AO-A0JD-01","0",0.02,0.056,0.126,0.078,0.078
"TCGA","TCGA-AO-A0JE-01","0",0.02,0.044,0,0.006,0.028
"TCGA","TCGA-AO-A0JF-01","0",0.002,0,0,0.002,0
"TCGA","TCGA-AO-A0JG-01","0",0,0.012,0.002,0,0.002
"TCGA","TCGA-AO-A0JI-01","0",0.006,0.004,0.022,0.006,0.004
"TCGA","TCGA-AO-A0JJ-01","0",0.012,0.01,0.004,0,0.004
"TCGA","TCGA-AO-A0JM-01","0",0.002,0.002,0,0.002,0.002
"TCGA","TCGA-AO-A124-01","1",0.838,0.858,0.898,0.904,0.86
"TCGA","TCGA-AO-A125-01","0",0.01,0.006,0.022,0.032,0.024
"TCGA","TCGA-AO-A126-01","0",0.01,0.008,0.002,0.008,0.004
"TCGA","TCGA-AO-A128-01","0",0.002,0.01,0.112,0.028,0.024
"TCGA","TCGA-AO-A129-01","0",0.102,0.082,0.29,0.234,0.19
"TCGA","TCGA-AO-A12A-01","0",0.012,0.006,0,0.002,0.002
"TCGA","TCGA-AO-A12B-01","0",0.002,0.002,0,0,0
"TCGA","TCGA-AO-A12D-01","0",0.048,0.03,0,0.008,0.02
"TCGA","TCGA-AO-A12E-01","0",0.008,0.026,0,0.004,0.006
"TCGA","TCGA-AO-A12F-01",NA,0.194,0.256,0.002,0.032,0.248
"TCGA","TCGA-AO-A12G-01","0",0.018,0.002,0.02,0.012,0.01
"TCGA","TCGA-AO-A12H-01","0",0,0.002,0,0.002,0
"TCGA","TCGA-AO-A1KO-01","0",0.002,0.006,0,0,0.006
